trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",25,0,-116.91203422606479,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",25,0,-156.56749357622505,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",25,0,-34.08103337549723,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-32.76280724095388,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",25,0,-156.32319230370635,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-182.48117681331354,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",25,0,-93.18746286374679,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,0,-221.91524442168512,"{0: 14, 1: 0, 2: 4, 3: 4, 4: 3}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",25,0,-174.04501941609112,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-139.18184218644143,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",25,8,-106.29236491145006,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 1}",1
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,-75.90391995069075,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",25,9,-68.35667014648016,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 0}",1
82,False,"{'a': 0.002, 'e': 0.850441204540233}",25,0,-63.818907347507434,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",35,0,-69.00965821984823,"{0: 23, 1: 5, 2: 7, 3: 0, 4: 0}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",30,0,-78.25307793948882,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",35,0,-119.29428603278882,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",25,0,-88.34830474998569,"{0: 15, 1: 7, 2: 1, 3: 1, 4: 1}",0
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",20,0,-69.84017967055766,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",20,0,-80.4249752269958,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
89,False,"{'a': 0.002, 'e': 0.838617983337074}",30,0,-128.67049112044734,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,15,2.0363113542644653,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.002, 'e': 0.835270211411272}",30,0,-145.2376213817123,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",20,14,12.053868697315663,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",20,0,-108.25698952423792,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",20,0,-69.23666163779694,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",25,0,-166.811487724045,"{0: 11, 1: 8, 2: 2, 3: 2, 4: 2}",0
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",30,17,3.3629585081046542,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-43.684552891172736,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",25,0,-39.354665086850936,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",20,0,-60.029800334565635,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",20,0,-123.65062583395226,"{0: 9, 1: 4, 2: 3, 3: 4, 4: 0}",0
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",25,0,-76.20124861613435,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",35,0,-226.8534248069247,"{0: 19, 1: 3, 2: 9, 3: 1, 4: 3}",0
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",30,0,-256.56282773755436,"{0: 14, 1: 4, 2: 5, 3: 4, 4: 3}",0
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",25,0,-68.30261022218623,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
105,False,"{'a': 0.002, 'e': 0.812207036711939}",25,0,-60.85233979740171,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",20,0,-91.28348930007095,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",35,24,-35.085703318637165,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",20,0,-117.71411657148312,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",20,2,-122.66250025946438,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 1}",1
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",25,4,-24.550166760010033,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",20,0,-67.04800213092966,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",20,5,-45.99088159481832,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",1
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",35,24,-35.220321927596174,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
